"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,41208.5041333849,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,31213.5207202391,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,26459.0609824751,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,27793.1390124031,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,25396.9070398287,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,25477.8968665291,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,26196.8691048925,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,39579.8325443362,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,28393.7325388549,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,31027.1158039345,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,35979.3823750205,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,29790.5298852513,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-04-30,27782.8293206793,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,26505.5143480263,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,42966.792470617,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,33619.3072795174,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,30171.3788696367,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,27019.3231253108,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,29381.5316049687,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,30175.4194626103,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,28581.6151759595,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,41677.2872282616,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,24863.8378861751,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,31742.929869081,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,29166.2346050996,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,30862.192090593,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,28681.1743949972,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,29435.201674556,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-05-31,29464.0131139989,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2001-05-31,34719.375794077,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,24840.9038435442,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,28986.4486492943,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,26398.3935512991,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,24312.6834258833,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,26076.6710550968,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,37307.3393319183,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,35754.199864085,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-05-31,35292.4148514816,"LEED interpolated"
