"area","date","dwellings_adj","year","pop","ppd","index","index_pop","index_dwel"
"Manawatu-Whanganui",2015-06-30,100181.231631197,2015,237400,2.36970534434988,0.97887080394979,1.03487358326068,1.05721161473497
"Marlborough",2015-06-30,22352.8942037132,2015,46200,2.06684644856081,0.96745899090835,1.05963302752294,1.095274360444
"Nelson",2015-06-30,20624.8026859669,2015,50500,2.44850827272933,1.01933105642853,1.13995485327314,1.11833623245744
"Northland",2015-06-30,75643.2624794799,2015,172100,2.27515305869688,0.998384041664574,1.12704649639817,1.1288707044226
"Otago",2015-06-30,96215.3554726577,2015,217400,2.25951459548243,0.990966425435006,1.08808808808809,1.09800701634311
"Southland",2015-06-30,43068.9918279685,2015,97700,2.26845337801836,0.986400515035235,1.04828326180258,1.06273592300905
"Taranaki",2015-06-30,48034.9741644891,2015,116600,2.42739799548386,0.991101636028537,1.08667287977633,1.09642930681737
"Tasman",2015-06-30,21979.3129702378,2015,50700,2.30671450325371,1.00145215550065,1.10698689956332,1.10538171342785
"Waikato",2015-06-30,186493.992122608,2015,442100,2.37058574900015,1.00454293341937,1.12436419125127,1.1192793795523
"Wellington",2015-06-30,195758.88872089,2015,501800,2.56335742033895,1.00411901266648,1.07613124597898,1.07171683077813
"West Coast",2015-06-30,16600.272524241,2015,32800,1.97587117633779,0.931481566147012,1.02180685358255,1.09696948465568
"Auckland",2016-06-30,523147.111949164,2016,1589800,3.0389157536905,1.05008711035784,1.15790240349599,1.10267271360127
"Bay of Plenty",2016-06-30,121325.84567664,2016,301500,2.48504346554124,1.01894471164934,1.13644930267622,1.11531988898267
"Canterbury",2016-06-30,246020.222109541,2016,601900,2.44654685228274,1.00087327791125,1.11462962962963,1.11365709748569
"Gisborne",2016-06-30,18268.5071821089,2016,48800,2.67126369514154,1.00373116962059,1.06086956521739,1.05692599505344
"Hawke's Bay",2016-06-30,65278.1795191407,2016,166900,2.55675022234745,1.01194588114587,1.09730440499671,1.08435087828431
"Manawatu-Whanganui",2016-06-30,100653.596568608,2016,241100,2.39534411307062,0.989461589934974,1.05100261551874,1.06219647756899
"Marlborough",2016-06-30,22567.7753221521,2016,47100,2.08704665513785,0.97691439650211,1.0802752293578,1.10580336744527
"Nelson",2016-06-30,20815.6302997565,2016,51400,2.46929827537344,1.02798607940493,1.16027088036117,1.12868345555109
"Northland",2016-06-30,76713.3433123806,2016,176400,2.29946958877402,1.00905463610431,1.15520628683694,1.14484017564885
"Otago",2016-06-30,97697.3322994323,2016,223100,2.28358333589111,1.00152237125417,1.11661661661662,1.11491929553038
"Southland",2016-06-30,43325.4962087321,2016,99000,2.28502864740524,0.993608004692508,1.06223175965665,1.06906521952325
"Taranaki",2016-06-30,48530.7833772701,2016,118500,2.44174916936331,0.996961190966503,1.10438024231128,1.10774647229812
"Tasman",2016-06-30,22309.8812557817,2016,51900,2.32632345304617,1.00996531350484,1.13318777292576,1.12200662515162
"Waikato",2016-06-30,189103.004233204,2016,452800,2.39446222356997,1.01466066226094,1.15157680569685,1.13493786497135
"Wellington",2016-06-30,197467.248567754,2016,510700,2.58625166301829,1.01308715116037,1.09521767102724,1.0810695504062
"West Coast",2016-06-30,16700.1401800502,2016,32900,1.97004334366618,0.928734160967363,1.02492211838006,1.10356888058528
"Auckland",2017-06-30,531418.905019897,2017,1625100,3.05803949511197,1.05669525483967,1.18361252731245,1.12010773389158
"Bay of Plenty",2017-06-30,123853.27924736,2017,311500,2.51507268836921,1.03125762215565,1.17414248021108,1.13855398979429
"Canterbury",2017-06-30,249624.200190637,2017,614300,2.46089922183371,1.00674477926626,1.13759259259259,1.12997118636334
"Gisborne",2017-06-30,18369.7118850465,2017,49200,2.67832181080914,1.00638326671877,1.0695652173913,1.06278120151832
"Hawke's Bay",2017-06-30,65727.8797298462,2017,169700,2.58185720728401,1.02188307007127,1.11571334648258,1.09182095208286
"Manawatu-Whanganui",2017-06-30,101316.0962313,2017,244300,2.41126542659395,0.996038318558928,1.06495204882302,1.06918783040776
