"area","date","dwellings","ann.change"
"Taranaki",2008-06-30,44963,0.0127942335848632
"Tasman",2008-06-30,20352,0.012688460964323
"Waikato",2008-06-30,172894,0.019800987395082
"Wellington",2008-06-30,186217,0.00958530542317937
"West Coast",2008-06-30,15585,0.0174304739522131
"Auckland",2008-07-31,488161,0.0130911294523433
"Bay of Plenty",2008-07-31,112389,0.0146891533197306
"Canterbury",2008-07-31,227478,0.014797400082976
"Gisborne",2008-07-31,17521,0.00770690745959635
"Hawke's Bay",2008-07-31,61867,0.0129344925258281
"Manawatu-Whanganui",2008-07-31,96649,0.00990585260342103
"Marlborough",2008-07-31,21107,0.0179406800096455
"Nelson",2008-07-31,19028,0.0199946395068347
"Northland",2008-07-31,69733,0.0191753993656918
"Otago",2008-07-31,90126,0.0140873596327384
"Southland",2008-07-31,41190,0.00866882162797533
"Taranaki",2008-07-31,45008,0.0127129131696779
"Tasman",2008-07-31,20380,0.0134765527873091
"Waikato",2008-07-31,173181,0.0201099153545743
"Wellington",2008-07-31,186385,0.00986102457128935
"West Coast",2008-07-31,15600,0.0170154508116565
"Auckland",2008-08-31,488811,0.0132036870829801
"Bay of Plenty",2008-08-31,112564,0.0137065254588353
"Canterbury",2008-08-31,227769,0.0150133689839571
"Gisborne",2008-08-31,17530,0.00735547638202516
"Hawke's Bay",2008-08-31,61935,0.0130360823056037
"Manawatu-Whanganui",2008-08-31,96757,0.0101160896980832
"Marlborough",2008-08-31,21140,0.0175202156334231
"Nelson",2008-08-31,19062,0.020504309652551
"Northland",2008-08-31,69876,0.0195815215805293
"Otago",2008-08-31,90242,0.0136247739500612
"Southland",2008-08-31,41215,0.0086388331457099
"Taranaki",2008-08-31,45069,0.0129458566516081
"Tasman",2008-08-31,20417,0.0141061938111557
"Waikato",2008-08-31,173447,0.0201564521820963
"Wellington",2008-08-31,186560,0.00987901588762274
"West Coast",2008-08-31,15615,0.0165353818110801
"Auckland",2008-09-30,489240,0.0125272410060702
"Bay of Plenty",2008-09-30,112669,0.0136297389207767
"Canterbury",2008-09-30,228068,0.0149662891346432
"Gisborne",2008-09-30,17540,0.00631095811818705
"Hawke's Bay",2008-09-30,61978,0.0128944744970501
"Manawatu-Whanganui",2008-09-30,96833,0.0099816429554842
