Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
1/03/2021,Northland,14950,15510,10780,69.5,13260,13750,10020,72.9,60430,8360,9510,14.7,3470,4620,879861100
,Auckland,18560,19240,12890,67,15220,15740,11100,70.5,764460,98800,109720,13.5,42130,53050,13811408400
,Waikato,15980,16520,11560,70,14170,14630,10570,72.3,192130,25710,29230,14.2,11200,14710,2976193700
,Bay of Plenty,15520,16100,11210,69.6,13540,14020,10230,73,129630,19560,23230,16.3,7770,11440,1942438600
,Gisborne,14830,15330,11330,73.9,13100,13500,10250,75.9,20700,3830,3850,18.6,1890,1920,292531000
,Hawke's Bay,15200,15780,11400,72.2,13690,14160,10750,75.9,76700,14440,11930,17.5,7270,4760,1112486400
,Taranaki,16300,16800,11920,71,14040,14470,10760,74.4,50790,6530,6810,13.1,3050,3320,813015600
,Manawatu-Wanganui,15090,15520,11420,73.6,13510,13870,10560,76.1,102970,13250,14680,13.5,5590,7020,1512391400
,Wellington,19010,19570,13800,70.5,15900,16360,11480,70.2,258450,30880,36300,12.9,12190,17610,4815440700
,Tasman,14030,14600,10440,71.5,12740,13220,9860,74.6,21060,3630,3740,17.5,1680,1790,290106500
,Nelson,15380,15920,10800,67.8,13410,13810,9810,71,26530,3520,3830,13.8,1250,1550,394723200
,Marlborough,15190,15560,11560,74.3,13750,14050,11000,78.3,22140,3330,3620,15.6,1560,1850,329791800
,West Coast,15170,15570,11950,76.8,13810,14170,10700,75.5,13500,1680,1800,12.8,780,890,202743400
,Canterbury,15910,16400,11510,70.2,14100,14530,10590,72.9,287390,36810,41070,13.4,15640,19900,4461780000
,Otago,15380,15930,11120,69.8,13600,14040,10280,73.2,106590,17200,16610,15.9,8550,7960,1576139700
,Southland,15450,15850,11990,75.7,14220,14530,11420,78.6,46250,6770,6540,14.4,3590,3360,689493500
1/12/2020,Northland,15520,16000,11760,73.5,13790,14200,10870,76.6,61570,9140,6870,13.3,4880,2620,905446600
,Auckland,18780,19290,14150,73.4,15740,16150,12220,75.7,775230,99770,92280,12.5,46710,39210,14020439600
,Waikato,16520,17000,12920,76,14550,14970,11650,77.8,195550,28770,22940,13.4,14110,8280,3068387400
,Bay of Plenty,15800,16290,12340,75.8,13940,14380,11170,77.7,133150,22910,19750,16.2,11440,8280,1970852200
,Gisborne,15040,15480,11900,76.9,13410,13730,11080,80.7,20740,3700,3100,16.6,1850,1240,293629900
,Hawke's Bay,15390,15840,12010,75.8,13810,14210,11130,78.3,73900,12790,9550,15.5,6510,3270,1076114600
,Taranaki,16790,17320,11980,69.2,14390,14810,10850,73.3,51320,6760,5480,12.1,3420,2130,826598800
,Manawatu-Wanganui,15370,15770,12300,78,13800,14130,11460,81.1,104310,14210,12100,12.7,6600,4490,1539857900
,Wellington,19080,19560,14930,76.3,16200,16640,12620,75.8,263960,33400,28110,11.8,14920,9630,4850998900
,Tasman,14460,14810,11970,80.8,12930,13270,11020,83,21030,3680,3010,16.2,1990,1330,286884400
,Nelson,15400,15800,12060,76.3,13500,13800,10990,79.6,26920,3870,3350,13.5,1660,1140,399534800
,Marlborough,15160,15490,12880,83.2,13680,13940,11640,83.5,22450,3560,3690,16.1,1610,1740,325997500
,West Coast,15700,16100,12570,78.1,14300,14690,10850,73.9,13610,1800,1460,12.1,890,560,206001700
,Canterbury,16410,16840,12780,75.9,14610,15000,11520,76.8,292200,38940,34910,12.7,18570,14540,4593215800
,Otago,15570,16010,11940,74.6,13870,14230,11140,78.3,105850,15550,14870,14.4,7790,7100,1559327500
,Southland,15630,16010,12660,79.1,14330,14690,12080,82.2,46030,7050,5040,13.4,3880,1870,690029500
1/09/2020,Northland,15180,15530,12690,81.7,13520,13840,11440,82.7,59290,7860,7590,13.1,3870,3600,873225100
,Auckland,18270,18680,14710,78.8,15320,15640,12500,79.9,767760,87370,95370,11.8,39880,47880,13710017600
,Waikato,16050,16390,13740,83.8,14340,14600,12630,86.5,189710,24970,24180,13,11780,11000,2954820700
,Bay of Plenty,15480,15890,13010,81.9,13660,14000,11510,82.2,129990,19670,25060,16.9,9230,14620,1939485600
,Gisborne,14850,15220,12450,81.8,13260,13520,11550,85.4,20140,3340,3150,16.2,1790,1600,284207900
,Hawke's Bay,15070,15420,12670,82.2,13480,13750,11580,84.2,70680,9450,12610,15.3,4030,7190,1035459200
,Taranaki,16330,16620,14400,86.6,14160,14400,12740,88.5,50040,5900,5860,11.8,2870,2830,798405200
,Manawatu-Wanganui,15130,15510,12240,78.9,13620,13930,11100,79.7,102200,12980,12380,12.4,6380,5790,1504976300
,Wellington,18950,19320,15880,82.2,16120,16400,13500,82.3,258670,28700,27860,11,12620,11780,4794977400
,Tasman,14260,14630,11450,78.3,12810,13100,10780,82.3,20370,2690,3720,15.4,1340,2370,281484900
,Nelson,15280,15570,13440,86.3,13560,13850,11940,86.2,26390,3300,3240,12.4,1470,1410,392287400
,Marlborough,15070,15390,13590,88.3,13560,13860,11650,84.1,22580,3050,3570,14.5,1480,2000,335858000
,West Coast,15520,15720,13410,85.3,14120,14290,12650,88.5,13260,1620,1900,13.1,730,1010,202528100
,Canterbury,16050,16380,13460,82.2,14300,14550,12410,85.3,288200,34610,35880,12.2,16640,17900,4512110100
,Otago,15030,15350,12470,81.2,13400,13650,11420,83.7,105140,13790,15390,13.8,6850,8450,1532028000
,Southland,14880,15140,13140,86.8,13840,14050,12440,88.5,44030,5540,7010,14,2520,3980,643500500
1/06/2020,Northland,13870,14470,10560,73,12290,12810,9660,75.4,59010,7860,8250,13.6,4120,4510,800154300
,Auckland,16700,17470,12160,69.6,13850,14490,10350,71.4,775930,101080,101290,13,50860,51070,12767035500
,Waikato,14800,15420,11130,72.2,13040,13590,9960,73.3,188860,23370,26410,13.1,11620,14650,2748412300
,Bay of Plenty,14210,14790,11200,75.7,12510,12990,10210,78.6,135330,26890,20780,18,17410,11300,1834744100
,Gisborne,13760,14260,11100,77.8,12160,12580,10160,80.8,19960,3170,3440,16.4,1630,1910,264323500
,Hawke's Bay,14020,14580,11100,76.1,12520,13000,10550,81.2,73830,10960,12330,15.6,5180,6550,1013633900
,Taranaki,15150,15780,11220,71.1,13000,13590,9880,72.7,49980,5400,6130,11.5,2650,3380,765128200
,Manawatu-Wanganui,14060,14660,10500,71.6,12530,13040,9990,76.6,101600,12480,12330,12.2,6310,6160,1394686400
,Wellington,17370,18210,12740,70,14600,15330,10840,70.7,257840,31470,30390,12,15650,14570,4419843100
,Tasman,13190,13800,10470,75.9,11870,12420,9990,80.4,21390,3700,3730,17.4,2030,2070,275928100
,Nelson,14030,14590,10470,71.8,12350,12820,9810,76.5,26330,4020,3730,14.8,2350,2060,363405400
,Marlborough,14200,14710,11640,79.1,12810,13200,11050,83.7,23090,4080,3910,17.4,2220,2050,322618300
,West Coast,14170,14640,11520,78.7,12690,13110,10470,79.9,13550,1810,2300,14.9,1050,1540,190102000
,Canterbury,14700,15350,10670,69.5,12990,13540,9670,71.4,289480,35030,37530,12.5,17490,19990,4221769700
,Otago,13870,14590,9960,68.3,12200,12870,8900,69.2,106710,13040,17110,13.9,6190,10270,1452496500
,Southland,14070,14600,10450,71.6,12980,13460,9820,73,45500,5010,6720,12.7,2380,4080,630295000
1/03/2020,Northland,14130,14550,11390,78.3,12610,12990,10080,77.6,59380,9450,10540,16.7,4450,5550,801168300
,Auckland,17490,17930,13900,77.5,14540,14970,11580,77.4,776470,122300,123560,15.8,56150,57410,13027131800
,Waikato,15060,15500,12200,78.7,13410,13810,10850,78.6,191810,29360,31220,15.7,13340,15200,2765195000
,Bay of Plenty,14390,14800,11890,80.3,12720,13110,10350,79,129170,22580,26020,18.6,10060,13500,1774643200
,Gisborne,13790,14220,11260,79.2,12370,12760,10020,78.5,20220,3810,3690,18.6,1830,1710,262676700
,Hawke's Bay,14190,14690,11700,79.7,12770,13250,10730,81,75170,15880,12960,19.6,8990,6080,1008635000
,Taranaki,15800,16250,12630,77.7,13500,13860,11230,81,50700,7410,7320,14.5,3660,3580,770299400
,Manawatu-Wanganui,14400,14730,12270,83.3,12950,13230,10840,81.9,101430,15820,15870,15.6,7420,7460,1398222700
,Wellington,18090,18470,15270,82.7,15120,15470,12730,82.3,256720,39910,42120,15.9,18430,20640,4460833000
,Tasman,13440,13980,11370,81.3,12200,12760,10600,83.1,21390,4770,3700,20.3,2670,1610,274113500
,Nelson,14320,14620,12290,84.1,12680,12990,10620,81.8,26030,4440,4420,17.1,2190,2170,353024200
,Marlborough,14310,14790,11650,78.8,12950,13460,10400,77.3,22920,4540,4030,18.9,2120,1600,316197700
,West Coast,14560,15030,12600,83.8,12990,13460,11260,83.7,14030,2580,2480,18.1,1420,1320,196915800
,Canterbury,15240,15650,12360,79,13540,13890,11000,79.2,291930,44040,46710,15.5,20350,23020,4267281600
,Otago,14410,14880,11750,79,12920,13360,10660,79.8,110760,20440,19280,18,9760,8610,1513885400
,Southland,14290,14660,12070,82.3,13250,13590,11440,84.2,47210,8150,7140,16.4,4210,3200,647451700
1/12/2019,Northland,15340,15780,12360,78.3,13750,14130,11270,79.8,60500,9670,7650,14.6,5190,3180,872331700
,Auckland,18510,19110,14160,74.1,15630,16150,12270,76,777680,115290,110520,14.6,48160,43380,13787452900
,Waikato,16220,16710,12890,77.1,14490,14930,11750,78.7,193730,31060,25680,14.9,15560,10190,2991298000
,Bay of Plenty,15600,16100,12220,75.9,13870,14300,11140,77.9,132550,24010,20760,17.1,11840,8590,1942791400
,Gisborne,15050,15370,12800,83.3,13500,13790,11420,82.8,20100,3570,3010,16.6,1790,1220,281801400
,Hawke's Bay,15450,15860,12780,80.6,13910,14270,11540,80.9,72230,13120,10430,16.6,6280,3590,1054621700
,Taranaki,16890,17190,15240,88.7,14540,14920,12000,80.4,50620,6710,5840,12.5,3310,2440,820699100
,Manawatu-Wanganui,15110,15540,12060,77.6,13640,14000,11120,79.4,101480,14390,12940,13.6,6840,5390,1466729300
,Wellington,19250,19810,15070,76.1,16250,16800,12660,75.4,259060,35790,32530,13.3,14780,11520,4796795500
,Tasman,14740,15240,11920,78.2,13370,13800,10670,77.3,20450,4390,3530,19.8,2290,1420,282243500
,Nelson,15570,16010,12370,77.3,13740,14130,10920,77.3,25880,3720,3480,14,1560,1320,386417000
,Marlborough,15410,15810,13060,82.6,13990,14310,12030,84.1,22380,4450,4260,19.6,2090,1890,330096200
,West Coast,15490,15940,12730,79.9,14150,14580,11440,78.5,13940,2270,1650,14.4,1180,570,207853800
,Canterbury,16450,16910,12970,76.7,14710,15060,11960,79.4,294620,42560,39240,14,19120,15800,4616654000
,Otago,15640,16150,12510,77.5,14040,14500,11450,79,109560,18910,18700,17.2,8810,8610,1614866300
,Southland,15390,15800,13040,82.5,14280,14670,12420,84.7,46220,7870,5820,15.2,4450,2400,683979800
1/09/2019,Northland,14220,14630,11720,80.1,12620,13000,10460,80.5,58450,8100,8570,14.2,3480,3950,808261000
,Auckland,17550,18160,13500,74.3,14560,15000,11550,77,773040,111140,113040,14.5,42980,44870,13233814700
,Waikato,15070,15530,12120,78,13370,13750,11160,81.2,188320,27630,27650,14.7,11220,11240,2754624300
,Bay of Plenty,14580,15070,11720,77.8,12840,13230,10570,79.9,129270,20840,28700,18.6,8420,16270,1819627100
,Gisborne,13680,14100,11210,79.5,12250,12600,10080,80,19530,3160,3380,16.7,1480,1710,256310600
,Hawke's Bay,14180,14590,11500,78.8,12730,13060,10440,79.9,69520,10830,13950,17.4,4600,7720,961675300
,Taranaki,15670,16110,12330,76.5,13450,13840,11120,80.4,49740,6740,6470,13.3,3000,2740,769223300
,Manawatu-Wanganui,14140,14560,11340,77.9,12670,13010,10280,79,100010,14350,14120,14.3,6470,6240,1373376700
,Wellington,17580,18150,13850,76.3,14960,15400,11990,77.9,255770,34590,34510,13.5,12470,12390,4406000400
,Tasman,13650,13980,11860,84.8,12280,12690,10710,84.4,19570,3240,4410,19,1430,2600,256828900
,Nelson,14450,14880,11480,77.2,12690,13010,10590,81.4,25640,3640,3640,14.2,1390,1380,360679500
,Marlborough,14450,14790,12250,82.8,12890,13190,10860,82.3,22200,3950,3740,17.4,2030,1830,313716500
,West Coast,14810,15090,12900,85.5,13220,13470,11860,88.1,13300,1640,2190,14.1,590,1130,192520300
,Canterbury,15250,15670,12550,80.1,13550,13910,11210,80.6,291300,40620,40590,13.9,16420,16390,4341745400
,Otago,14180,14660,11420,77.9,12680,13080,10340,79.1,109380,18380,17220,16.4,8060,6900,1496479400
,Southland,14110,14390,12380,86,12970,13220,11630,88,44160,6970,8220,17,3070,4320,610431000
1/06/2019,Northland,13860,14430,11220,77.8,12420,12920,10110,78.3,58920,9970,9040,16.3,5150,4230,791912400
,Auckland,17160,18000,12930,71.8,14390,15000,11320,75.5,775060,128560,117410,16,59180,48020,12872176000
,Waikato,14860,15510,11870,76.5,13260,13800,10940,79.3,188270,30030,29830,15.9,13980,13780,2705428800
,Bay of Plenty,14350,15030,11640,77.5,12710,13280,10560,79.5,137130,33600,22780,21.4,20520,9700,1828178300
,Gisborne,13690,14290,10960,76.7,12240,12700,10120,79.7,19730,3670,3660,18.6,1820,1810,255990000
,Hawke's Bay,13980,14630,11370,77.7,12570,13080,10870,83.1,72640,13310,14140,18.8,5710,6530,986223900
,Taranaki,15430,16010,12410,77.5,13310,13820,10720,77.6,49480,6860,6930,13.9,3250,3320,749972200
,Manawatu-Wanganui,13870,14480,11010,76,12500,12980,10090,77.7,99780,15460,13950,14.9,7410,5910,1340609500
,Wellington,17610,18410,14250,77.4,14870,15580,11940,76.6,255660,41840,34920,15.2,20550,13630,4368939600
,Tasman,13330,13950,10990,78.8,11970,12520,10070,80.4,20720,4350,4530,21.3,2150,2320,265878500
,Nelson,14310,14890,11710,78.6,12580,13050,10340,79.2,25680,4090,3820,15.5,1780,1510,355965000
,Marlborough,14150,14780,11170,75.6,12700,13230,10550,79.7,22030,4430,4430,20.1,1870,1870,304544700
,West Coast,14240,14760,11700,79.3,12760,13290,10770,81,13840,1920,2270,15,870,1220,192013300
,Canterbury,15020,15660,11810,75.4,13440,13930,10830,77.8,291260,45890,42240,15.2,22100,18460,4256306000
,Otago,14060,14850,10670,71.9,12620,13260,9830,74.1,108190,19120,19780,17.9,8630,9290,1472993700
,Southland,13940,14460,11480,79.4,12990,13470,10470,77.7,45410,7100,7730,16.2,3340,3970,622838700
1/03/2019,Northland,13460,13870,10690,77.1,11890,12240,9470,77.4,58010,9300,10330,16.8,4140,5160,752368200
,Auckland,16700,17290,12300,71.1,13840,14320,10450,73,763920,119100,127510,16.1,49510,57920,12218075000
,Waikato,14330,14790,11310,76.5,12690,13060,10130,77.6,188080,31650,33080,17.2,14270,15700,2588780600
,Bay of Plenty,13720,14250,10230,71.8,12060,12500,9270,74.2,126310,23110,26220,19.3,9470,12580,1654939300
,Gisborne,13150,13590,10350,76.2,11660,12030,9210,76.6,19720,3970,3670,19.5,2020,1710,244000200
,Hawke's Bay,13400,13930,10610,76.2,12040,12500,9890,79.1,73470,16440,13360,20.7,9090,6010,931197500
,Taranaki,15250,15680,11820,75.4,12800,13130,10380,79.1,49520,7000,7530,14.6,3250,3780,730947900
,Manawatu-Wanganui,13600,13960,11050,79.2,12190,12500,9980,79.8,98270,15010,16470,15.9,6560,8020,1290972000
,Wellington,16990,17500,13100,74.9,14250,14700,10940,74.4,248740,39080,41780,16.2,17020,19730,4092425300
,Tasman,12810,13370,9820,73.5,11560,12090,9310,77,20890,4880,4210,22.1,2490,1810,251199900
,Nelson,13520,13940,10690,76.7,11960,12300,9590,78,25400,4690,4610,18.4,2190,2110,329260000
,Marlborough,13690,14090,10570,75,12350,12720,9560,75.2,22030,4470,4470,20.2,2100,2100,290752000
,West Coast,13750,14300,10460,73.2,12200,12720,9420,74.1,14180,2600,2270,17.4,1380,1050,186232400
,Canterbury,14600,15060,11020,73.2,12920,13320,9950,74.7,287630,44010,46250,15.6,19310,21550,4040055500
,Otago,13630,14170,10380,73.3,12160,12660,9700,76.6,108850,21410,20040,19.2,9950,8580,1422253200
,Southland,13680,14010,11360,81.1,12600,12870,10910,84.8,46040,8300,7760,17.6,4280,3740,609135700
1/12/2018,Northland,14680,15200,11360,74.7,12990,13460,10250,76.2,59050,9530,7630,14.8,4840,2950,822525800
,Auckland,17890,18490,13680,74,15000,15480,11800,76.2,772420,120190,104900,14.7,51220,35940,13145406400
,Waikato,15530,16070,11950,74.4,13750,14220,10910,76.7,189280,31300,25110,15.2,15220,9020,2795648300
,Bay of Plenty,14990,15520,11560,74.5,13250,13710,10470,76.4,129310,24640,19930,17.6,11820,7110,1805337500
,Gisborne,14360,14720,12010,81.6,12770,13060,10930,83.7,19420,3460,2840,16.5,1730,1110,259508300
,Hawke's Bay,14660,15060,11690,77.6,13150,13500,10660,79,70350,13380,9960,17,6870,3450,966956300
,Taranaki,16270,16690,13280,79.6,13820,14220,11320,79.6,50060,7270,5750,13.2,3590,2070,780988300
,Manawatu-Wanganui,14390,14810,11080,74.8,12920,13240,10120,76.4,99780,14470,12710,13.8,6870,5110,1368812400
,Wellington,18460,18980,14280,75.2,15500,16000,12010,75.1,251480,35380,30980,13.3,14210,9810,4430324000
,Tasman,14020,14440,11820,81.9,12570,12960,10510,81.1,20180,4510,3310,20,2370,1170,261911900
,Nelson,14850,15300,10950,71.6,13060,13470,10040,74.5,25310,3820,3680,14.9,1480,1340,357801800
,Marlborough,14870,15310,11900,77.7,13360,13740,11120,80.9,22110,4380,4460,19.9,1920,2000,308810000
,West Coast,15090,15600,11460,73.5,13530,14000,10570,75.5,13850,2320,1580,14.5,1250,510,198943300
,Canterbury,15800,16260,12360,76,14090,14480,11310,78.1,289970,43290,39330,14.4,19030,15070,4369212000
,Otago,14860,15310,11830,77.3,13200,13610,10800,79.4,107480,19080,18940,17.7,7960,7820,1504931200
,Southland,14570,14950,12090,80.9,13480,13820,11700,84.7,45520,8190,6040,16,4390,2230,637568800
1/09/2018,Northland,13700,14100,11290,80.1,12210,12540,10200,81.3,57130,8490,9290,15.5,3950,4760,757960000
,Auckland,17100,17690,13250,74.9,14050,14540,11250,77.4,757220,112050,113220,14.9,41820,43000,12562116400
,Waikato,14550,15000,11820,78.8,12890,13260,10820,81.6,183010,28030,28060,15.3,11260,11290,2578098700
,Bay of Plenty,14030,14490,11430,78.9,12370,12740,10280,80.7,124610,20430,28030,18.9,7900,15510,1683462900
,Gisborne,13150,13520,11040,81.7,11750,12060,9930,82.3,18790,3100,3330,17,1440,1670,236856000
,Hawke's Bay,13680,14060,11170,79.5,12220,12520,10170,81.2,66930,9810,13540,17,3700,7430,892601800
,Taranaki,15190,15720,11410,72.6,13000,13420,10500,78.2,48540,6480,6760,13.6,2680,2960,722328300
,Manawatu-Wanganui,13710,14000,11300,80.7,12240,12500,10000,80,98010,13980,13350,14,6170,5530,1305445200
,Wellington,17050,17530,13880,79.2,14350,14780,11630,78.7,247080,34690,34250,14,13310,12880,4119778300
,Tasman,13080,13360,11760,88,11740,12010,10450,87,19020,3330,4700,20.4,1330,2700,239625700
,Nelson,13950,14340,11450,79.9,12330,12640,10550,83.5,25170,3840,3820,15.2,1560,1550,341548900
,Marlborough,14240,14670,11590,79,12540,12840,10300,80.2,22190,3970,3740,17.5,1970,1750,304118600
,West Coast,14290,14660,12070,82.3,12800,13180,10850,82.3,13070,1780,1950,14.2,740,910,181193700
,Canterbury,14980,15370,12660,82.4,13240,13570,11300,83.3,285950,41720,41460,14.6,17380,17110,4172564500
,Otago,13730,14220,11030,77.6,12170,12630,9870,78.2,107360,18850,17630,17.1,8160,6930,1423533100
,Southland,13630,13930,11680,83.9,12600,12830,11080,86.4,43390,7110,8150,17.4,2970,4010,580225700
1/06/2018,Northland,13480,14020,11210,80,12010,12500,10000,80,57960,10710,9910,17.9,5590,4790,753208500
,Auckland,16590,17410,13090,75.2,13820,14480,11260,77.8,758790,145110,129640,18.3,62250,46790,12165960800
,Waikato,14320,14850,12180,82,12750,13190,10870,82.4,183100,33990,31550,18,15130,12680,2537403300
,Bay of Plenty,13880,14520,11350,78.2,12180,12720,10310,81.1,132180,34340,23760,22.9,20660,10080,1715979500
,Gisborne,13030,13490,11350,84.1,11620,12000,10230,85.3,19010,3690,3700,19.4,1870,1890,234118300
,Hawke's Bay,13430,13960,11280,80.8,12000,12480,10310,82.6,70660,13660,15060,20.1,5590,6990,915361800
,Taranaki,15090,15670,12520,79.9,12970,13410,11120,82.9,48780,7720,7390,15.5,3350,3010,719095000
,Manawatu-Wanganui,13350,13860,11210,80.9,12000,12410,9910,79.9,97300,17000,16980,17.5,7760,7740,1267598800
,Wellington,16940,17770,13650,76.8,14190,14920,11550,77.4,246570,45110,40390,17.5,19740,15020,4083723400
,Tasman,12850,13280,11470,86.4,11640,11940,10770,90.2,20320,4880,4690,23.7,2300,2110,265950800
,Nelson,13750,14310,11200,78.3,12090,12530,9940,79.3,25150,4530,4430,17.8,1620,1520,352655400
,Marlborough,13940,14350,12640,88.1,12440,12830,11020,85.9,21970,5040,5480,23.7,1940,2380,305282800
,West Coast,14020,14370,12650,88,12500,12850,11050,86,13230,1950,2470,16.4,750,1270,180139100
,Canterbury,14660,15260,12060,79,13020,13510,10920,80.8,285580,52240,52050,18.3,24090,23910,4096794700
,Otago,13570,14230,10940,76.9,12160,12720,9860,77.5,106090,21310,21240,20.1,9480,9410,1394075500
,Southland,13440,13970,10710,76.7,12420,12890,10020,77.7,44400,7030,8140,16.9,2920,4030,594632600
1/03/2018,Northland,13190,13660,10530,77.1,11630,12010,9320,77.6,57110,10890,11660,19.6,4690,5460,726074800
,Auckland,16390,17060,12280,72,13520,14040,10500,74.8,743670,146120,155990,20.2,54570,64430,11721790600
,Waikato,13900,14310,11890,83.1,12300,12680,10420,82.2,180580,37270,39010,21.1,14900,16650,2424941300
,Bay of Plenty,13440,13900,11150,80.2,11780,12190,9630,79,121430,25680,28690,22.1,9730,12740,1557578300
,Gisborne,12650,13050,10550,80.8,11310,11660,9550,81.9,18980,4220,4220,22.3,2200,2200,228138400
,Hawke's Bay,13070,13600,10650,78.3,11800,12300,9900,80.5,72070,17260,15470,23,8390,6600,891499500
,Taranaki,15130,15570,12010,77.1,12500,12860,10140,78.9,48460,7900,8280,16.6,3440,3820,707875100
,Manawatu-Wanganui,13140,13460,11470,85.2,11820,12090,10210,84.5,97260,19250,19400,19.9,8650,8810,1247102200
,Wellington,16630,17160,13350,77.8,13900,14380,11330,78.8,241880,46020,54240,20.3,16700,24930,3903204500
,Tasman,12170,12690,10130,79.8,11000,11380,9430,82.9,20070,5420,4570,25.5,2630,1780,231650600
,Nelson,13130,13550,10650,78.6,11630,12010,9390,78.2,25090,5110,5260,20.4,1920,2060,318224700
,Marlborough,13300,13790,10950,79.4,12000,12480,9720,77.9,22450,5930,4780,24.6,3000,1850,285151600
,West Coast,13410,13830,11600,83.9,11950,12390,10020,80.9,13740,2900,2680,20.5,1390,1170,181440400
,Canterbury,14370,14790,11910,80.5,12680,13010,10620,81.6,285360,55340,58380,19.8,24060,27100,3968720600
,Otago,13370,13840,11010,79.6,11900,12300,9880,80.3,106020,23140,21860,21.4,10830,9560,1374830900
,Southland,13230,13620,11030,81,12170,12440,10790,86.7,45510,8600,8200,18.6,4070,3670,579684400
1/12/2017,Northland,14000,14470,10740,74.2,12280,12670,9790,77.3,57710,9490,7070,14.7,5000,2580,764570400
,Auckland,17050,17660,12580,71.2,14260,14770,10860,73.5,751160,113710,100010,14.4,47920,34220,12112144800
,Waikato,14720,15230,11130,73.1,12990,13420,10310,76.8,181530,29170,22860,14.6,14220,7910,2549640600
,Bay of Plenty,14130,14620,10900,74.6,12420,12860,9850,76.6,124310,22600,19000,17,10780,7180,1654108400
,Gisborne,13410,13810,10880,78.8,11810,12110,9940,82.1,18930,3410,2730,16.6,1740,1060,236496700
,Hawke's Bay,13740,14160,10980,77.5,12360,12710,10110,79.5,70250,13370,9550,16.8,6880,3060,901195200
,Taranaki,15420,15880,11570,72.9,13060,13410,10380,77.4,48800,6780,5560,12.8,3190,1970,718152700
,Manawatu-Wanganui,13600,13970,10460,74.9,12180,12500,9550,76.4,97360,13650,11860,13.2,6570,4780,1274617800
,Wellington,17830,18280,13570,74.2,14790,15180,11080,73,252940,35610,30870,13.3,15360,10620,4299061000
,Tasman,13360,13810,10540,76.3,11890,12260,9520,77.7,19120,4190,2790,19,2420,1020,238170800
,Nelson,14270,14690,10900,74.2,12440,12780,9740,76.2,25680,3730,3510,14.2,1480,1260,347977200
,Marlborough,14010,14500,10890,75.1,12680,13100,10050,76.7,21140,4360,4300,20.5,1950,1890,281069600
,West Coast,14040,14180,12920,91.1,12640,12770,11240,88,13510,2530,1620,15.9,1500,580,185316900
,Canterbury,15140,15590,11880,76.2,13450,13810,10920,79.1,289640,44440,37110,14.3,20560,13230,4184872500
,Otago,14140,14590,10910,74.8,12610,13000,10040,77.2,104520,18550,17440,17.3,8560,7450,1408360200
,Southland,13920,14300,11500,80.4,12820,13120,11040,84.2,44750,7650,5500,15,4190,2050,593522700
1/09/2017,Northland,13230,13580,11090,81.7,11700,12000,9770,81.4,55240,7460,7930,13.9,3280,3750,705410400
,Auckland,16440,17060,12490,73.2,13500,13980,10650,76.2,737930,106370,105860,14.4,39620,39110,11722026800
,Waikato,13900,14320,11320,79.1,12270,12630,10280,81.4,175030,25890,25240,14.6,10850,10190,2357779700
,Bay of Plenty,13440,13910,10800,77.6,11760,12160,9650,79.4,120640,19230,25440,18.1,7920,14130,1554023000
,Gisborne,12490,12840,10240,79.8,11140,11440,9280,81.1,18200,3070,3370,17.6,1520,1820,215742800
,Hawke's Bay,13020,13370,10760,80.5,11570,11930,9570,80.2,66440,10370,13730,17.7,4340,7690,833461500
,Taranaki,14640,15020,12120,80.7,12450,12710,10550,83,47550,5940,6230,12.8,2600,2890,679594700
,Manawatu-Wanganui,13030,13410,10420,77.7,11630,11970,9380,78.4,95590,12450,12090,12.9,5360,5000,1206089800
,Wellington,16370,16880,12950,76.7,13750,14180,11120,78.4,247930,33100,31690,13.1,12940,11540,3972538000
,Tasman,12470,12790,10260,80.2,11070,11270,9730,86.3,17720,2630,4310,18.7,1110,2790,213275800
,Nelson,13390,13720,10770,78.5,11730,12000,9810,81.8,25460,3580,3470,13.9,1560,1450,329436100
,Marlborough,13370,13680,11280,82.5,12020,12280,10090,82.2,21080,3820,3670,17.9,1900,1740,269735000
,West Coast,13270,13560,11460,84.5,11900,12100,10110,83.6,12540,1680,2110,14.9,690,1130,166394200
,Canterbury,14390,14810,11770,79.5,12680,13000,10690,82.2,282460,40230,39310,14.1,16810,15890,3944401700
,Otago,13240,13720,10320,75.2,11660,12090,9260,76.6,103410,17460,15660,16.2,8020,6220,1315102800
,Southland,13020,13300,11230,84.4,11840,12060,10190,84.5,42660,6470,7120,15.8,2830,3490,540099400
1/06/2017,Northland,12910,13630,9790,71.8,11530,12130,8770,72.3,55690,10090,9030,17.3,5390,4320,696175800
,Auckland,15960,16840,12100,71.9,13280,13980,10400,74.4,737530,134790,111490,17,66840,43530,11407662300
,Waikato,13760,14480,10760,74.3,12290,12900,9820,76.1,174360,30360,28510,17,15360,13510,2334931700
,Bay of Plenty,13240,13920,10580,76,11630,12190,9460,77.6,126840,31490,20180,21.3,19840,8530,1564883800
,Gisborne,12460,13000,10720,82.5,11060,11500,9430,82,18500,3750,4860,22.6,2020,3130,217363600
,Hawke's Bay,12850,13510,10120,74.9,11510,12040,9550,79.3,69770,14130,13810,20.1,7030,6720,865559900
