"date","index","area","level","measure","freq","area_number"
2021-04-30,1.47816625330893,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-05-31,1.45472245215318,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-06-30,1.50602270563219,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-07-31,1.49291207680284,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-08-31,1.50992193245322,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-09-30,1.47296893406394,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-10-31,1.4509818759049,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-11-30,1.50200280326253,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2021-12-31,1.56410087778445,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2022-01-31,1.49355351124998,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2000-12-31,0.806418343670785,"Auckland","Territorial Local Authority","flow","Monthly",76
2000-12-31,0.806418343670785,"Auckland Region","Regional Council","flow","Monthly",2
2001-01-31,0.815974144705173,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-01-31,0.815974144705173,"Auckland Region","Regional Council","flow","Monthly",2
2001-02-28,0.815433993895384,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-02-28,0.815433993895384,"Auckland Region","Regional Council","flow","Monthly",2
2001-03-31,0.819950163387593,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-03-31,0.819950163387593,"Auckland Region","Regional Council","flow","Monthly",2
2001-04-30,0.822822336697576,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-04-30,0.822822336697576,"Auckland Region","Regional Council","flow","Monthly",2
2001-05-31,0.822209131505387,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-05-31,0.822209131505387,"Auckland Region","Regional Council","flow","Monthly",2
2001-06-30,0.819794324021985,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-06-30,0.819794324021985,"Auckland Region","Regional Council","flow","Monthly",2
2001-07-31,0.818973133428985,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-07-31,0.818973133428985,"Auckland Region","Regional Council","flow","Monthly",2
2001-08-31,0.82541223121956,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-08-31,0.82541223121956,"Auckland Region","Regional Council","flow","Monthly",2
2001-09-30,0.830810714333911,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-09-30,0.830810714333911,"Auckland Region","Regional Council","flow","Monthly",2
2001-10-31,0.842612629042031,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-10-31,0.842612629042031,"Auckland Region","Regional Council","flow","Monthly",2
2001-11-30,0.845383098477073,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-11-30,0.845383098477073,"Auckland Region","Regional Council","flow","Monthly",2
2001-12-31,0.843808886904788,"Auckland","Territorial Local Authority","flow","Monthly",76
2001-12-31,0.843808886904788,"Auckland Region","Regional Council","flow","Monthly",2
2002-01-31,0.850982003359285,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-01-31,0.850982003359285,"Auckland Region","Regional Council","flow","Monthly",2
2002-02-28,0.866803810068267,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-02-28,0.866803810068267,"Auckland Region","Regional Council","flow","Monthly",2
2002-03-31,0.878129600076988,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-03-31,0.878129600076988,"Auckland Region","Regional Council","flow","Monthly",2
2002-04-30,0.886445389914826,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-04-30,0.886445389914826,"Auckland Region","Regional Council","flow","Monthly",2
2002-05-31,0.891138537313165,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-05-31,0.891138537313165,"Auckland Region","Regional Council","flow","Monthly",2
2002-06-30,0.892468775688417,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-06-30,0.892468775688417,"Auckland Region","Regional Council","flow","Monthly",2
2002-07-31,0.895555265805255,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-07-31,0.895555265805255,"Auckland Region","Regional Council","flow","Monthly",2
2002-08-31,0.908042601898197,"Auckland","Territorial Local Authority","flow","Monthly",76
2002-08-31,0.908042601898197,"Auckland Region","Regional Council","flow","Monthly",2
2002-09-30,0.916360901051939,"Auckland","Territorial Local Authority","flow","Monthly",76
