"date","index","type","area","change_since06"
2007-10-31,1.07254139845171,"relative rental price index","Gisborne",0.073
2007-10-31,0.980573996663321,"relative rental price index","Hawke's Bay",-0.019
2007-10-31,0.99191564953928,"relative rental price index","Manawatu- Whanganui",-0.008
2007-10-31,1.05137671155521,"relative rental price index","Marlborough",0.051
2007-10-31,1.03969264654682,"relative rental price index","Nelson",0.04
2007-10-31,1.02482798802584,"relative rental price index","Northland",0.025
2007-10-31,0.983668315316524,"relative rental price index","Otago",-0.016
2007-10-31,0.986377204115809,"relative rental price index","Southland",-0.014
2007-10-31,1.06215947839279,"relative rental price index","Taranaki",0.062
2007-10-31,0.964084500512491,"relative rental price index","Tasman",-0.036
2007-10-31,0.982836850340482,"relative rental price index","Waikato",-0.017
2007-10-31,1.02932944819862,"relative rental price index","Wellington",0.029
2007-10-31,1.02705188387276,"relative rental price index","West Coast",0.027
2007-11-30,0.9969386342611,"relative rental price index","Auckland",-0.003
2007-11-30,0.994143969218887,"relative rental price index","Bay of Plenty",-0.006
2007-11-30,1.00198744391792,"relative rental price index","Canterbury",0.002
2007-11-30,1.06525608595753,"relative rental price index","Gisborne",0.065
2007-11-30,0.997219951966988,"relative rental price index","Hawke's Bay",-0.003
2007-11-30,0.991859991291677,"relative rental price index","Manawatu- Whanganui",-0.008
2007-11-30,1.00739293737833,"relative rental price index","Marlborough",0.007
2007-11-30,0.997755844607454,"relative rental price index","Nelson",-0.002
2007-11-30,1.02346707831301,"relative rental price index","Northland",0.023
2007-11-30,0.983352396531597,"relative rental price index","Otago",-0.017
2007-11-30,0.984013398464003,"relative rental price index","Southland",-0.016
2007-11-30,1.00819084787803,"relative rental price index","Taranaki",0.008
2007-11-30,1.00589807548564,"relative rental price index","Tasman",0.006
2007-11-30,0.972194510728324,"relative rental price index","Waikato",-0.028
2007-11-30,1.02832188003244,"relative rental price index","Wellington",0.028
2007-11-30,0.978862282580947,"relative rental price index","West Coast",-0.021
2007-12-31,1.00164917803942,"relative rental price index","Auckland",0.002
2007-12-31,1.01455209195828,"relative rental price index","Bay of Plenty",0.015
2007-12-31,0.994410979313623,"relative rental price index","Canterbury",-0.006
2007-12-31,1.11831154632564,"relative rental price index","Gisborne",0.118
2007-12-31,0.987615173240909,"relative rental price index","Hawke's Bay",-0.012
2007-12-31,0.989791838923916,"relative rental price index","Manawatu- Whanganui",-0.01
2007-12-31,1.02153545486934,"relative rental price index","Marlborough",0.022
2007-12-31,1.04351457962132,"relative rental price index","Nelson",0.044
2007-12-31,1.02840002554133,"relative rental price index","Northland",0.028
2007-12-31,0.97014599562508,"relative rental price index","Otago",-0.03
2007-12-31,0.981261419692984,"relative rental price index","Southland",-0.019
2007-12-31,1.0301510454408,"relative rental price index","Taranaki",0.03
2007-12-31,1.03444511915079,"relative rental price index","Tasman",0.034
2007-12-31,0.983992565518564,"relative rental price index","Waikato",-0.016
2007-12-31,1.01867883697825,"relative rental price index","Wellington",0.019
2007-12-31,1.06142330100422,"relative rental price index","West Coast",0.061
2008-01-31,0.976471353351861,"relative rental price index","Auckland",-0.024
2008-01-31,1.01121881732958,"relative rental price index","Bay of Plenty",0.011
2008-01-31,1.02069869403777,"relative rental price index","Canterbury",0.021
2008-01-31,1.09436196294604,"relative rental price index","Gisborne",0.094
2008-01-31,0.999325815554866,"relative rental price index","Hawke's Bay",-0.001
2008-01-31,0.998948716967729,"relative rental price index","Manawatu- Whanganui",-0.001
2008-01-31,1.01002652205595,"relative rental price index","Marlborough",0.01
