"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
" ","2004Q1",5.3
" ","2004Q2",3.7
" ","2004Q3",4.3
" ","2004Q4",4.4
" ","2005Q1",3.8
" ","2005Q2",2.9
" ","2005Q3",3.5
" ","2005Q4",4.2
" ","2006Q1",5.0
" ","2006Q2",2.4
" ","2006Q3",3.5
" ","2006Q4",2.7
" ","2007Q1",4.1
" ","2007Q2",3.9
" ","2007Q3",2.7
" ","2007Q4",2.6
" ","2008Q1",3.6
" ","2008Q2",3.0
" ","2008Q3",3.4
" ","2008Q4",3.1
" ","2009Q1",2.7
" ","2009Q2",4.3
" ","2009Q3",3.7
" ","2009Q4",6.0
" ","2010Q1",4.9
" ","2010Q2",4.5
" ","2010Q3",4.8
" ","2010Q4",4.9
" ","2011Q1",4.6
" ","2011Q2",5.1
" ","2011Q3",5.1
" ","2011Q4",3.6
" ","2012Q1",4.5
" ","2012Q2",3.7
" ","2012Q3",4.5
" ","2012Q4",5.0
" ","2013Q1",5.2
" ","2013Q2",5.0
" ","2013Q3",5.3
" ","2013Q4",5.8
" ","2014Q1",6.4
" ","2014Q2",5.2
" ","2014Q3",4.4
" ","2014Q4",4.8
" ","2015Q1",6.0
" ","2015Q2",7.4
" ","2015Q3",4.6
" ","2015Q4",4.0
" ","2016Q1",5.9
" ","2016Q2",4.8
" ","2016Q3",4.7
" ","2016Q4",6.9
" ","2017Q1",6.3
" ","2017Q2",5.2
" ","2017Q3",5.1
" ","2017Q4",6.5
" ","2018Q1",5.2
" ","2018Q2",5.4
" ","2018Q3",4.2
" ","2018Q4",4.8
" ","2019Q1",5.7
" ","2019Q2",5.3
" ","2019Q3",6.1
" ","2019Q4",4.3
" ","2020Q1",3.8
" ","2020Q2",4.4
" ","2020Q3",4.5
" ","2020Q4",6.3
" ","2021Q1",5.3
" ","2021Q2",4.1
" ","2021Q3",4.0
" ","2021Q4",4.2
" ","2022Q1",2.4
" ","2022Q2",1.8
" ","2022Q3",3.2
"Taranaki / Manawatu - Whanganui","1986Q1",".."
" ","1986Q2",".."
" ","1986Q3",".."
" ","1986Q4",".."
" ","1987Q1",".."
" ","1987Q2",".."
" ","1987Q3",".."
" ","1987Q4",".."
" ","1988Q1",".."
" ","1988Q2",".."
" ","1988Q3",".."
" ","1988Q4",".."
" ","1989Q1",".."
" ","1989Q2",".."
" ","1989Q3",".."
" ","1989Q4",".."
" ","1990Q1",".."
" ","1990Q2",".."
" ","1990Q3",".."
" ","1990Q4",".."
" ","1991Q1",".."
" ","1991Q2",".."
" ","1991Q3",".."
" ","1991Q4",".."
" ","1992Q1",".."
" ","1992Q2",".."
" ","1992Q3",".."
" ","1992Q4",".."
" ","1993Q1",".."
" ","1993Q2",".."
" ","1993Q3",".."
" ","1993Q4",".."
" ","1994Q1",".."
" ","1994Q2",".."
" ","1994Q3",".."
" ","1994Q4",".."
" ","1995Q1",".."
" ","1995Q2",".."
" ","1995Q3",".."
" ","1995Q4",".."
" ","1996Q1",".."
" ","1996Q2",".."
" ","1996Q3",".."
" ","1996Q4",".."
" ","1997Q1",".."
" ","1997Q2",".."
" ","1997Q3",".."
" ","1997Q4",".."
" ","1998Q1",".."
" ","1998Q2",".."
" ","1998Q3",".."
" ","1998Q4",".."
" ","1999Q1",".."
" ","1999Q2",".."
" ","1999Q3",".."
" ","1999Q4",".."
" ","2000Q1",".."
" ","2000Q2",".."
" ","2000Q3",".."
" ","2000Q4",".."
" ","2001Q1",".."
" ","2001Q2",".."
" ","2001Q3",".."
" ","2001Q4",".."
" ","2002Q1",".."
" ","2002Q2",".."
" ","2002Q3",".."
" ","2002Q4",".."
" ","2003Q1",".."
" ","2003Q2",".."
" ","2003Q3",".."
" ","2003Q4",".."
" ","2004Q1",".."
" ","2004Q2",".."
" ","2004Q3",".."
" ","2004Q4",".."
